Name;Date of Birth (yyyy-mm-dd);Place of Birth;Date of Death (yyyy-mm-dd);Profession | Occupation;Years of Service;MP;Service in House of Commons;Cause of Death;Senator;Service in Senate;Notes;Language Preference;erro
William Edward O'Brien, M.P.;1831-03-10;Thornhill, Upper Canada;1914-12-22;farmer, editor;5117 days [14 year(s), 4 day(s)];(1882-06-20 - 1896-06-22);5117 days [14 year(s), 4 day(s)];;;;;;
Jennifer O'Connell, M.P.;1983;;;legal assistant;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
The Hon. Martin Patrick O'Connell, P.C., M.P.;1916-08-01;Victoria, British Columbia, Canada;2003-08-11;professor, economist, investment dealer, teacher;3367 days [9 year(s), 2 month(s), 19 day(s)];(1968-06-25 - 1972-10-29)|(1974-07-08 - 1979-05-21);3367 days [9 year(s), 2 month(s), 19 day(s)];;;;;;
Dennis James O'Connor, M.P.;1880-01-27;Godmanchester, Quebec, Canada;1946-11-26;farmer, garage owner / operator, contractor;182 days [, 5 month(s), 30 day(s)];(1930-01-27 - 1930-07-27);182 days [, 5 month(s), 30 day(s)];;;;;;
The Hon. Frank Patrick O'Connor, Senator;1885-04-09;Deseronto, Ontario, Canada;1939-08-21 (Died in Office);businessman;1355 days [3 year(s), 8 month(s), 16 day(s)];;;;(1935-12-06 - 1939-08-21);1355 days [3 year(s), 8 month(s), 16 day(s)];Founded and was President , Laura Secord Candy Shops, Canada. (Canadian Directory of Parliament);;
The Hon. Gordon O'Connor, P.C., M.P.;1939-05-18;Toronto, Ontario, Canada;;consultant;4130 days [11 year(s), 3 month(s), 21 day(s)];(2004-06-28 - 2004-08-31)|(2004-09-01 - 2015-10-18);4130 days [11 year(s), 3 month(s), 21 day(s)];;;;;;
The Hon. John O'Connor, P.C., M.P.;1824;Boston, Massachusetts, United States;1887-11-03;lawyer;3670 days [10 year(s), 18 day(s)];(1867-09-20 - 1874-01-21)|(1878-09-17 - 1878-10-16)|(1878-11-04 - 1882-06-19);3670 days [10 year(s), 18 day(s)];;;;;;
Terrance Patrick (Terry) O'Connor, M.P.;1940-03-24;Toronto, Ontario, Canada;;barrister and solicitor;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;;;
The Hon. John O'Donohue, M.P., Senator;1824-04-18;Tuam, Galway, Ireland;1902-12-07 (Died in Office);lawyer;7814 days [21 year(s), 4 month(s), 22 day(s)];(1874-01-22 - 1874-11-26);309 days [, 10 month(s), 5 day(s)];;(1882-05-21 - 1902-12-07);7505 days [20 year(s), 6 month(s), 17 day(s)];;;
The Hon. Raymond Joseph Michael O'Hurley, P.C., M.P.;1909-10-01;Saint-Gilles, Quebec, Canada;1970-03-27;grader, scaler;2128 days [5 year(s), 9 month(s), 28 day(s)];(1957-06-10 - 1963-04-07);2128 days [5 year(s), 9 month(s), 28 day(s)];;;;;;
Joseph Phillip O'Keefe, M.P.;1909-05-26;St John's, Newfoundland;1995-09-02;manager/owner, supermarket, merchant, executive;1905 days [5 year(s), 2 month(s), 18 day(s)];(1963-04-08 - 1968-06-24);1905 days [5 year(s), 2 month(s), 18 day(s)];;;;;;
Brian Alexander O'Kurley, M.P.;1953-03-07;Lamont, Alberta, Canada;;retail merchant, lecturer, educator, principal, guidance counsellor;1799 days [4 year(s), 11 month(s), 3 day(s)];(1988-11-21 - 1993-10-24);1799 days [4 year(s), 11 month(s), 3 day(s)];;;;;;
The Hon. Clement Augustine O'Leary, M.P., Senator;1916-06-26;Lochaber, Nova Scotia, Canada;1969-06-12 (Died in Office);insurance supervisor, insurance agent;3993 days [10 year(s), 11 month(s), 6 day(s)];(1958-03-31 - 1962-06-17);1540 days [4 year(s), 2 month(s), 18 day(s)];;(1962-09-25 - 1969-06-12);2453 days [6 year(s), 8 month(s), 19 day(s)];;;
The Hon. Michael Grattan O'Leary, Senator;1888-02-19;Percé, Quebec, Canada;1976-04-07 (Died in Office);journalist;4945 days [13 year(s), 6 month(s), 14 day(s)];;;;(1962-09-24 - 1976-04-07);4945 days [13 year(s), 6 month(s), 14 day(s)];;;
Lawrence I. O'Neil, M.P.;1954-11-14;;;lawyer;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
John Raymond O'Neill, M.P.;1891-01-19;Almonte, Ontario, Canada;1951-07-18;promoter, prospector;320 days [, 10 month(s), 16 day(s)];(1925-10-29 - 1926-09-13);320 days [, 10 month(s), 16 day(s)];;;;;;
Thomas James O'Neill, M.P.;1882-06-02;Winnipeg, Manitoba, Canada;1965-10-16;locomotive engineer;3528 days [9 year(s), 7 month(s), 28 day(s)];(1935-10-14 - 1945-06-10);3528 days [9 year(s), 7 month(s), 28 day(s)];;;;;;
;;;;;;;;;;;;;
The Hon. Seamus Thomas Harris O'Regan, P.C., M.P.;1971-01-18;St. John's, Newfoundland and Labrador, Canada;;policy adviser, executive assistant, consultant, reporter;3479 days [9 year(s), 6 month(s), 9 day(s)];(2015-10-19 - 2025-04-27);3479 days [9 year(s), 6 month(s), 9 day(s)];;;;;;
James O'Reilly, M.P.;1823-09-16;Westport, County Mayo, Ireland;1875-05-15;lawyer;467 days [1 year(s), 3 month(s), 11 day(s)];(1872-10-12 - 1874-01-21);467 days [1 year(s), 3 month(s), 11 day(s)];;;;;;
John Francis O'Reilly, M.P.;1940-08-04;Lindsay, Ontario, Canada;;real estate broker;3899 days [10 year(s), 8 month(s), 4 day(s)];(1993-10-25 - 1998-06-17)|(1998-06-18 - 2004-06-27);3899 days [10 year(s), 8 month(s), 4 day(s)];;;;;;
Sean Patrick O'Sullivan, M.P.;1952-01-01;Hamilton, Ontario, Canada;1989-03-09;executive assistant, journalist;1780 days [4 year(s), 10 month(s), 15 day(s)];(1972-10-30 - 1977-09-13);1780 days [4 year(s), 10 month(s), 15 day(s)];;;;;;
The Hon. Erin O'Toole, P.C., M.P.;1973-01-22;Montreal, Quebec, Canada;;lawyer, military officer;3901 days [10 year(s), 8 month(s), 6 day(s)];(2012-11-26 - 2023-08-01);3901 days [10 year(s), 8 month(s), 6 day(s)];;;;Son of John O'Toole, member of the Ontario Legislative Assembly (1995-2014).;;
Edwin Randolph Oakes, M.P.;1818-03-25;Pleasant Valley, Nova Scotia, Canada;1889-08;merchant;246 days [, 8 month(s), 3 day(s)];(1874-01-22 - 1874-09-24);246 days [, 8 month(s), 3 day(s)];;;;;;
The Hon. Frank Oberle, P.C., M.P.;1932-03-24;Forchheim, Germany;2024-09-12;businessman;7665 days [20 year(s), 11 month(s), 25 day(s)];(1972-10-30 - 1979-05-21)|(1979-05-22 - 1993-10-24);7665 days [20 year(s), 11 month(s), 25 day(s)];;;;Father of Frank Oberle, Alberta cabinet minister  (2004-);;
The Hon. Deepak Obhrai, P.C., M.P.;1950-07-05;Oldeani, Tanzania;2019-08-02 (Died in Office);businessman;8097 days [22 year(s), 2 month(s), 1 day(s)];(1997-06-02 - 2015-10-18)|(2015-10-19 - 2019-08-02);8097 days [22 year(s), 2 month(s), 1 day(s)];;;;;;
The Hon. Beverley J. (Bev) Oda, P.C., M.P.;1944-07-27;Thunder Bay, Ontario, Canada;;communication consultant, broadcasting executive, teacher;2956 days [8 year(s), 1 month(s), 4 day(s)];(2004-06-28 - 2004-08-31)|(2004-09-01 - 2012-07-31);2956 days [8 year(s), 1 month(s), 4 day(s)];;;;First Canadian of Japanese origin elected to the House of Commons. (Source Toronto Star, 9.10.2004);;
The Hon. William Hunter Odell, Senator;1811-11-26;New Brunswick, Canada;1891-07-25 (Died in Office);lawyer;8677 days [23 year(s), 9 month(s), 2 day(s)];;;;(1867-10-23 - 1891-07-25);8677 days [23 year(s), 9 month(s), 2 day(s)];;;
Edmond George Odette, M.P.;1884-05-22;Windsor, Ontario, Canada;1939-03-31;industrialist;1413 days [3 year(s), 10 month(s), 13 day(s)];(1926-09-14 - 1930-07-27);1413 days [3 year(s), 10 month(s), 13 day(s)];;;;;;
Alfred Ogden, M.P.;1843-12-31;Port Elgin, New Brunswick, Canada;1919-07-29;;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;;;
The Hon. Alexander Walker Ogilvie, Senator;1829-05-07;Saint-Michel, Lower Canada;1902-03-31;miller, businessman;6965 days [19 year(s), 25 day(s)];;;;(1881-12-24 - 1901-01-18);6965 days [19 year(s), 25 day(s)];;;
The Hon. Kelvin Kenneth Ogilvie, Senator;;Nova Scotia, Canada;;professor, university president, scientist, researcher;2994 days [8 year(s), 2 month(s), 11 day(s)];;;;(2009-08-27 - 2017-11-06);2994 days [8 year(s), 2 month(s), 11 day(s)];;;
Robert (Bob) Joseph Ogle, M.P.;1928-12-24;Rosetown, Saskatchewan, Canada;1998-04-01;priest, missionary;1932 days [5 year(s), 3 month(s), 15 day(s)];(1979-05-22 - 1984-09-03);1932 days [5 year(s), 3 month(s), 15 day(s)];;;;Awarded the Saskatchewan Order of Merit (S.O.M.) in 1995.;;
The Hon. Victor Oh, Senator;;Singapore;;businessman;4154 days [11 year(s), 4 month(s), 14 day(s)];;;;(2013-01-25 - 2024-06-09);4154 days [11 year(s), 4 month(s), 14 day(s)];;;
Harry Magnus Olaussen, M.P.;1929-10-08;Shanghai, China;;steam engineer, stationary engineer, merchant seaman;616 days [1 year(s), 8 month(s), 8 day(s)];(1972-10-30 - 1974-07-07);616 days [1 year(s), 8 month(s), 8 day(s)];;;;;;
The Hon. Robert Oliphant, P.C., M.P.;;;;minister;4775 days [13 year(s), 27 day(s)];(2008-10-14 - 2011-05-01)|(2015-10-19 - );4775 days [13 year(s), 27 day(s)];;;;;English;
The Hon. Donald H. Oliver, K.C., Senator;1938-11-16;Wolfville, Nova Scotia, Canada;2025-09-17;farmer, professor, lecturer, author, lawyer, developer;8472 days [23 year(s), 2 month(s), 10 day(s)];;;;(1990-09-07 - 2013-11-16);8472 days [23 year(s), 2 month(s), 10 day(s)];"First Black man appointed to the Senate.
Awarded the Order of Nova Scotia (O.N.S.) in 2020.";;
The Hon. Frank Oliver, P.C., M.P.;1853-09-01;Peel County, Canada West;1933-03-31;publisher;7846 days [21 year(s), 5 month(s), 24 day(s)];(1896-06-23 - 1904-11-02)|(1904-11-03 - 1908-10-25)|(1908-10-26 - 1917-12-16);7846 days [21 year(s), 5 month(s), 24 day(s)];;;;;;
The Hon. Joe Oliver, P.C., M.P.;1940-05-20;Montreal, Quebec, Canada;;executive director, investment dealer, investment banker;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
John Oliver, M.P.;1956;Ontario, Canada;;president / manager, senior public servant, administrator (health services);1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
Thomas Oliver, M.P.;1821;Kildonan, Sutherlandshire, Scotland;1880-11-08 (Died in Office);merchant, teacher;4799 days [13 year(s), 1 month(s), 21 day(s)];(1867-09-20 - 1880-11-08);4799 days [13 year(s), 1 month(s), 21 day(s)];;;;;;
The Hon. Joseph Mario Jacques Olivier, P.C., M.P.;1944-04-14;Hull, Quebec, Canada;;labour relations officer, automobile dealer, businessman;4327 days [11 year(s), 10 month(s), 5 day(s)];(1972-10-30 - 1984-09-03);4327 days [11 year(s), 10 month(s), 5 day(s)];;;;;;
The Hon. Louis Auguste Olivier, Senator;1816-11-01;Berthier-en-Haut, Lower Canada;1881-09-18;lawyer;2148 days [5 year(s), 10 month(s), 18 day(s)];;;;(1867-10-23 - 1873-09-08);2148 days [5 year(s), 10 month(s), 18 day(s)];;;
Louis Ephrem Olivier, M.P.;1847-08-27;Saint-Nicolas, Canada East;1882-12-20;physician;1372 days [3 year(s), 9 month(s), 2 day(s)];(1878-09-17 - 1882-06-19);1372 days [3 year(s), 9 month(s), 2 day(s)];;;;;;
The Hon. Horace Andrew (Bud) Olson, P.C., M.P., Senator;1925-10-06;Iddesleigh, Alberta, Canada;2002-02-14;farmer, merchant, rancher;10993 days [30 year(s), 1 month(s), 6 day(s)];(1957-06-10 - 1958-03-30)|(1962-06-18 - 1972-10-29);4081 days [11 year(s), 2 month(s), 2 day(s)];;(1977-04-05 - 1996-03-07);6912 days [18 year(s), 11 month(s), 3 day(s)];14th Lieutenant Governor of Alberta (1996-2000).;;
The Hon. Ratna Omidvar, Senator;;Amritsar, India;;professor, executive director;3140 days [8 year(s), 7 month(s), 5 day(s)];;;;(2016-04-01 - 2024-11-04);3140 days [8 year(s), 7 month(s), 5 day(s)];Awarded the Order of Ontario (O.Ont.) in 2005.;;
John Martin Oostrom, M.P.;1930-09-02;Werkhoven, Netherlands;2023-03-04;economist, executive, businessman;1539 days [4 year(s), 2 month(s), 17 day(s)];(1984-09-04 - 1988-11-20);1539 days [4 year(s), 2 month(s), 17 day(s)];;;;;;
Ted Opitz, M.P.;1961-08-25;Parkdale, Ontario, Canada;;political adviser;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;Of Polish origin.;;
Robert John (Bud) Orange, M.P.;1926-01-03;Ottawa, Ontario, Canada;2007-05-06;economist, public servant;2548 days [6 year(s), 11 month(s), 22 day(s)];(1965-11-08 - 1972-10-29);2548 days [6 year(s), 11 month(s), 22 day(s)];;;;;;
David Orlikow, M.P.;1918-04-20;Winnipeg, Manitoba, Canada;1998-01-19;pharmacist, labour educator;9653 days [26 year(s), 5 month(s), 5 day(s)];(1962-06-18 - 1988-11-20);9653 days [26 year(s), 5 month(s), 5 day(s)];;;;;;
James Norris Ormiston, M.P.;1915-05-30;Regina, Saskatchewan, Canada;1977-08-07;farmer, insurance agent;3739 days [10 year(s), 2 month(s), 26 day(s)];(1958-03-31 - 1968-06-24);3739 days [10 year(s), 2 month(s), 26 day(s)];;;;;;
George Turner Orton, M.P.;1837-01-19;Guelph, Upper Canada;1901-11-14;physician;4740 days [12 year(s), 11 month(s), 22 day(s)];(1874-01-22 - 1874-11-03)|(1874-12-13 - 1887-02-21);4740 days [12 year(s), 11 month(s), 22 day(s)];;;;;;
Edmund Boyd Osler, M.P.;1919-08-21;Winnipeg, Manitoba, Canada;1987-04-01;insurance executive, writer;1588 days [4 year(s), 4 month(s), 5 day(s)];(1968-06-25 - 1972-10-29);1588 days [4 year(s), 4 month(s), 5 day(s)];;;;;;
Sir Edmund Boyd Osler, M.P.;1845-11-20;Tecumseh Township, Canada West;1924-08-04;financier;7846 days [21 year(s), 5 month(s), 24 day(s)];(1896-06-23 - 1904-11-02)|(1904-11-03 - 1917-12-16);7846 days [21 year(s), 5 month(s), 24 day(s)];;;;;;
Marcel Ostiguy, M.P.;1929-05-14;Saint-Mathias-de-Rouville, Quebec, Canada;2014-01-21;industrialist, businessman;2150 days [5 year(s), 10 month(s), 20 day(s)];(1978-10-16 - 1984-09-03);2150 days [5 year(s), 10 month(s), 20 day(s)];;;;;;
The Hon. Gerald R. Ottenheimer, Q.C., Senator;1934-06-04;London, England;1998-01-18 (Died in Office);educator, lawyer, businessman;3673 days [10 year(s), 21 day(s)];;;;(1987-12-30 - 1998-01-18);3673 days [10 year(s), 21 day(s)];;;
Steven Otto, M.P.;1921-12-25;Poland;1989-01-16;lawyer, businessman;3787 days [10 year(s), 4 month(s), 13 day(s)];(1962-06-18 - 1972-10-29);3787 days [10 year(s), 4 month(s), 13 day(s)];;;;;;
The Hon. André Ouellet, P.C., K.C., M.P.;1939-04-06;Saint-Pascal, Quebec, Canada;;lawyer;10468 days [28 year(s), 7 month(s), 28 day(s)];(1967-05-29 - 1988-11-20)|(1988-11-21 - 1996-01-24);10468 days [28 year(s), 7 month(s), 28 day(s)];;;;;;
Christian Ouellet, M.P.;1934-04-22;Montreal, Quebec, Canada;2021-12-21;professor, architect;1925 days [5 year(s), 3 month(s), 8 day(s)];(2006-01-23 - 2011-05-01);1925 days [5 year(s), 3 month(s), 8 day(s)];;;;;;
David Ouellet, M.P.;1908-01-09;Saint-Ulric, Quebec, Canada;1972-09-14;insurance broker;294 days [, 9 month(s), 20 day(s)];(1962-06-18 - 1963-04-07);294 days [, 9 month(s), 20 day(s)];;;;;;
Gérard Ouellet, M.P.;1913-02-17;East Hartford, Connecticut, United States;1975-04-03;farmer;945 days [2 year(s), 7 month(s), 2 day(s)];(1963-04-08 - 1965-11-07);945 days [2 year(s), 7 month(s), 2 day(s)];;;;;;
Robert-Falcon Ouellette, M.P.;1976-11-22;Calgary, Alberta, Canada;;educator, musician, director, researcher;1463 days [4 year(s), 2 day(s)];(2015-10-19 - 2019-10-20);1463 days [4 year(s), 2 day(s)];;;;;;
The Hon. Joseph-Aldéric Ouimet, P.C., M.P.;1847-05-21;Sainte-Rose, Canada East;1916-05-12;lawyer;8260 days [22 year(s), 7 month(s), 12 day(s)];(1873-10-28 - 1892-01-10)|(1892-01-25 - 1896-06-22);8260 days [22 year(s), 7 month(s), 12 day(s)];;;;;;
Joseph-Rodolphe Ouimet, M.P.;1878-11-16;Île Bizard, Quebec, Canada;1948-08-21;notary;1318 days [3 year(s), 7 month(s), 9 day(s)];(1922-03-21 - 1925-10-28);1318 days [3 year(s), 7 month(s), 9 day(s)];;;;;;
Charles Lewis Owen, M.P.;1852-07-15;Oriskany, New York, United States;1926-09-20;woollens manufacturer;1423 days [3 year(s), 10 month(s), 23 day(s)];(1907-10-29 - 1911-09-20);1423 days [3 year(s), 10 month(s), 23 day(s)];;;;;;
The Hon. Stephen Owen, P.C., K.C., M.P.;1948-09-08;Vancouver, British Columbia, Canada;2023-06-29;professor, senior public servant, lawyer;2434 days [6 year(s), 7 month(s), 30 day(s)];(2000-11-27 - 2007-07-27);2434 days [6 year(s), 7 month(s), 30 day(s)];;;;;;
The Hon. William Owens, Senator;1840-05-15;Lachute, Canada East;1917-06-08 (Died in Office);merchant;7828 days [21 year(s), 5 month(s), 6 day(s)];;;;(1896-01-02 - 1917-06-08);7828 days [21 year(s), 5 month(s), 6 day(s)];;;
Lucien Turcotte Pacaud, M.P.;1879-09-21;Trois-Rivières, Quebec, Canada;1960-03-05;lawyer, ambassador;4053 days [11 year(s), 1 month(s), 5 day(s)];(1911-09-21 - 1922-10-25);4053 days [11 year(s), 1 month(s), 5 day(s)];;;;;;
Massimo Pacetti, M.P.;1962-08-22;Montreal, Quebec, Canada;;entrepreneur, accountant;4907 days [13 year(s), 5 month(s), 7 day(s)];(2002-05-13 - 2015-10-18);4907 days [13 year(s), 5 month(s), 7 day(s)];;;;;;
The Hon. Rey D. Pagtakhan, P.C., M.P.;1935-01-07;Manila, Philippines;;cardiologist, pediatrician, physician, professor of medicine, author;5698 days [15 year(s), 7 month(s), 6 day(s)];(1988-11-21 - 1997-06-01)|(1997-06-02 - 2004-06-27);5698 days [15 year(s), 7 month(s), 6 day(s)];;;;;;
Daniel Paillé, M.P.;1950-04-01;Montreal, Quebec, Canada;;professor, economist, financial analyst, executive assistant, administrator-manager, director general;539 days [1 year(s), 5 month(s), 22 day(s)];(2009-11-09 - 2011-05-01);539 days [1 year(s), 5 month(s), 22 day(s)];;;;;;
Pascal-Pierre Paillé, M.P.;1978-05-30;Sherbrooke, Quebec, Canada;;entrepreneur, teacher;930 days [2 year(s), 6 month(s), 17 day(s)];(2008-10-14 - 2011-05-01);930 days [2 year(s), 6 month(s), 17 day(s)];;;;;;
Henry Nicholas Paint, M.P.;1830-04-10;Belle Vue, Nova Scotia, Canada;1921-09-29;insurance agent;1708 days [4 year(s), 8 month(s), 4 day(s)];(1882-06-20 - 1887-02-21);1708 days [4 year(s), 8 month(s), 4 day(s)];;;;;;
John Cameron Pallett, M.P.;1921-02-15;Dixie, Ontario, Canada;1985-10-03;lawyer;3010 days [8 year(s), 2 month(s), 27 day(s)];(1954-03-22 - 1962-06-17);3010 days [8 year(s), 2 month(s), 27 day(s)];;;;;;
Brian William Pallister, M.P.;1954-07-06;Portage La Prairie, Manitoba, Canada;;caretaker, chartered financial analyst, public servant;2878 days [7 year(s), 10 month(s), 17 day(s)];(2000-11-27 - 2008-10-13);2878 days [7 year(s), 10 month(s), 17 day(s)];;;;;;
Acalus Lockwood Palmer, M.P.;1820-08-28;Sackville, New Brunswick, Canada;1899-08-10;lawyer;2166 days [5 year(s), 11 month(s), 5 day(s)];(1872-10-12 - 1878-09-16);2166 days [5 year(s), 11 month(s), 5 day(s)];;;;;;
The Hon. Charles-Eugène Panet, Senator;1829-11-27;Québec, Quebec, Canada;1898-11-22;coroner, lawyer;315 days [, 10 month(s), 11 day(s)];;;;(1874-03-27 - 1875-02-04);315 days [, 10 month(s), 11 day(s)];;;
The Hon. Louis Panet, Senator;1794-03-19;Québec, Quebec, Canada;1884-05-15;notary;1141 days [3 year(s), 1 month(s), 15 day(s)];;;;(1871-02-10 - 1874-03-26);1141 days [3 year(s), 1 month(s), 15 day(s)];;;
Jim Pankiw, M.P.;1966-08-07;Unity, Saskatchewan, Canada;;chiropractor, acupuncturist;2583 days [7 year(s), 26 day(s)];(1997-06-02 - 2004-06-27);2583 days [7 year(s), 26 day(s)];;;;;;
Annick Papillon, M.P.;1980-05-27;Rimouski, Quebec, Canada;;public servant;1631 days [4 year(s), 5 month(s), 18 day(s)];(2011-05-02 - 2015-10-18);1631 days [4 year(s), 5 month(s), 18 day(s)];;;;;;
Louis Joseph Papineau, M.P.;1861-01-03;Sainte-Geneviève, Canada East;1932-04-24;lawyer;6212 days [17 year(s), 3 day(s)];(1908-10-26 - 1925-10-28);6212 days [17 year(s), 3 day(s)];;;;;;
The Hon. Steve Eugene Paproski, P.C., M.P.;1928-09-23;Lwow, Poland;1993-12-03;manager, professional football player, businessman;9253 days [25 year(s), 4 month(s)];(1968-06-25 - 1979-05-21)|(1979-05-22 - 1993-10-24);9253 days [25 year(s), 4 month(s)];;;;;;
The Hon. Anselme Homère Pâquet, M.P., Senator;1830-09-29;Saint-Cuthbert, Lower Canada;1891-12-22 (Died in Office);professor, physician;8860 days [24 year(s), 3 month(s), 3 day(s)];(1867-09-20 - 1874-12-08);2637 days [7 year(s), 2 month(s), 19 day(s)];;(1874-12-09 - 1891-12-22);6223 days [17 year(s), 14 day(s)];;;
The Hon. Eugène Paquet, P.C., M.P., Senator;1867-10-23;Saint-Agapit, Quebec, Canada;1951-05-08 (Died in Office);physician;10539 days [28 year(s), 10 month(s), 8 day(s)];(1904-11-03 - 1917-12-16);4792 days [13 year(s), 1 month(s), 14 day(s)];;(1935-08-14 - 1951-05-08);5747 days [15 year(s), 8 month(s), 25 day(s)];;;
The Hon. Joseph Arthur Paquet, Senator;1857-09-05;Québec, Quebec, Canada;1901-03-29 (Died in Office);merchant;1006 days [2 year(s), 9 month(s), 2 day(s)];;;;(1898-06-27 - 1901-03-29);1006 days [2 year(s), 9 month(s), 2 day(s)];;;
Pierre A. Paquette, M.P.;1955-06-01;Sorel, Quebec, Canada;;professor, economist, unionist;3808 days [10 year(s), 5 month(s), 4 day(s)];(2000-11-27 - 2011-05-01);3808 days [10 year(s), 5 month(s), 4 day(s)];;;;;;
The Hon. Christian Paradis, P.C., M.P.;1974-01-01;Thetford Mines, Quebec, Canada;;lawyer;3556 days [9 year(s), 8 month(s), 26 day(s)];(2006-01-23 - 2015-10-18);3556 days [9 year(s), 8 month(s), 26 day(s)];;;;;;
The Hon. Denis Paradis, P.C., M.P.;1949-04-01;Saint-Jean-sur-Richelieu, Quebec, Canada;;barrister and solicitor, lawyer;5460 days [14 year(s), 11 month(s), 12 day(s)];(1995-02-13 - 2006-01-22)|(2015-10-19 - 2019-10-20);5460 days [14 year(s), 11 month(s), 12 day(s)];;;;Awarded the title of Commander of the Ordre de la Pléiade in 2005.;;
François-Xavier Paradis, M.P.;1844-02-09;Saint-Rémi, Quebec, Canada;1910-06-27;farmer, merchant;86 days [, 2 month(s), 25 day(s)];(1890-12-09 - 1891-03-04);86 days [, 2 month(s), 25 day(s)];;;;;;
The Hon. Philippe-Jacques Paradis, Senator;1868-08-04;Québec, Quebec, Canada;1933-06-20 (Died in Office);manufacturer;2016 days [5 year(s), 6 month(s), 7 day(s)];;;;(1927-12-14 - 1933-06-20);2016 days [5 year(s), 6 month(s), 7 day(s)];;;
